word;weight
abadi;2
abai;-3
abaktinal;0
abdi;-3
abid;3
abis;-1
tes;1
abnormalitas;-4
abolisi;-3
abon;-4
aborsi;-3
absen;-3
abses;-4
absorpsi;-3
absurd;-1
abuk;-3
abur;-5
acak;-3
acak acak;-3
acau;4
acuh;-2
adab;3
adam;-5
adang;-3
adaptasi;2
adat;2
adegan;-3
adekuat;2
adem;2
adhesif;0
adiaktinik;0
adidaya;2
adiguna;2
adigung;2
adika;5
adikodrati;2
adiktif;-4
adikuasa;2
adil;4
adiluhung;3
adimarga;-4
adisional;1
aditama;2
aditif;1
adiwarna;2
adjektival;0
administratif;0
administrator;3
adon;-4
adu;-4
adu lidah;-3
adu mulut;-4
aduh;-2
aduhai;4
aduk;-3
adun;2
adzan;3
aerobik;0
afair;3
afdal;2
afeksi;2
afiat;2
afiliasi;-4
afirmasi;3
afirmatif;1
afotik;0
agen;-3
agen rahasia;-3
agentif;0
agraris;0
agresif ofensif;2
agung;-4
ahad;3
ahli;3
ahli agama;1
ahli bahasa;-3
ahmak;-3
ahsan;2
aib;-1
air liur;-2
ajaib;-4
ajak;1
ajal;-4
ajang;-3
ajar;-5
ajojing;3
aju;-3
ajudan;4
ajuk;-5
akademik;2
akademis;1
akhlak;4
akhlaki;2
akibat;1
akidah;3
akik;-3
akil;4
akli;1
akliah;2
akomodasi;3
akomodatif;1
akrab;3
akreditasi;2
aksa;-4
akseptabel;1
akses;2
aksi;2
aksioma;-3
aksiomatis;2
aktif;2
aktinik;0
aktivasi;2
aktual;4
akuan;3
akur;2
akurat;2
akut;-5
alai belai;-3
alaihi salam;2
alaikum;2
alami;2
alamiah;2
alangkah;-2
alas;-4
alat kelamin;-3
alat negara;-3
alat vital;-2
alay;-1
albinoid;0
album;-2
alegoris;0
alegreto;0
alegro;0
alem;4
alergi;-3
alfabetis;1
alga;0
alhamdulilah;4
alhamdulillah;4
aliansi;1
alienasi;-3
alifatik;0
alih;-3
alih bentuk;-3
alih generasi;4
alikuot;0
alim;2
alir;1
alir darah;4
alir udara;-1
alisiklik;0
alit;1
alkalis;0
alkisah;-4
alku;-5
allah;2
alobar;-4
alon;1
alone;-3
alot;1
alpa;-3
alter;-5
alun;3
alur;-4
aluvial;0
asu;-5
amal;4
amanah;5
amandel;-5
amarah;-5
amatin;-2
ambai;-5
ambal;-4
ambang;-5
ambau;-5
ambek paramaarta;1
ambigu;-3
ambiguitas;-5
ambisi;4
ambisius;2
amblas;-3
ambles;-4
ambruk;-5
ambulatori;0
amburadul;-5
amerta;2
ametis;-4
amfoterik;0
amikal;2
amin;3
amit;-4
amniotik;0
amor;-4
amoral;-3
ampai;-4
ampas;-3
ampas kopi;3
ampel;-3
ampela;-5
amplop;3
ampu;-5
ampuh;4
ampun;1
amput;-3
